All: LOW Risk,Base Infectivity,Demographic Coverage,HCT Uptake Post Debut Max,HCT Uptake Post Debut Mid,Informal Form Rate,Infrml Condom Mid,Infrml Condom Rate,Infrml Condoms Max,Male To Female Old,Male To Female Young,Marital Form Rate,Max Infrml F LOW,Max Infrml F MED,Max Infrml M LOW,Max Infrml M MED,Max Mrtl F MED,Max Mrtl M MED,Max Trns F LOW,Max Trns F MED,Max Trns M LOW,Max Trns M MED,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Pr Ex Infrml Fem LOW,Pr Ex Infrml Fem MED,Pr Ex Infrml Male LOW,Pr Ex Infrml Male MED,Pr Ex Trns Fem LOW,Pr Ex Trns Fem MED,Pr Ex Trns Male LOW,Pr Ex Trns Male MED,Risk Assortivity,SeedYr HIGH,Trans Form Rate,Trns Condom Mid,Trns Condom Rate,Trns Condoms Max,iteration_number,likelihood,parameterization_id,run_number,sim_id
0.52753443655807,0.004,0.16917831429742863,0.4047939318152142,2008.6427279411976,0.0013231968929749605,1998.364384387139,4.0,0.19167044187570748,1.6373094378751332,2.4063884038990118,0.00015249148758629348,1.2309803123103251,2.316038726334545,1.0851872367665234,2.5841880573604463,1.2407945384519483,1.090187228759145,1.791544237128701,2.4756509190061773,1.8892533415822612,2.5819536445080167,0.1110622951180192,2001.9232909105049,3.6989597954473896,0.3407078611919001,0.22260009304698847,0.5688471604752918,0.2278001146239551,0.10603743727013767,0.6824691769715816,0.19181208230686053,0.7883353021559152,0.5952651522948084,1973.6575904157773,0.00019025464353366283,2003.0049594322618,2.1754856726063294,0.32505986950339166,9,-14.50246622503472,0,28902,Simulation_VD7XCESF
0.52753443655807,0.004,0.16917831429742863,0.4047939318152142,2008.6427279411976,0.0013231968929749605,1998.364384387139,4.0,0.19167044187570748,1.6373094378751332,2.4063884038990118,0.00015249148758629348,1.2309803123103251,2.316038726334545,1.0851872367665234,2.5841880573604463,1.2407945384519483,1.090187228759145,1.791544237128701,2.4756509190061773,1.8892533415822612,2.5819536445080167,0.1110622951180192,2001.9232909105049,3.6989597954473896,0.3407078611919001,0.22260009304698847,0.5688471604752918,0.2278001146239551,0.10603743727013767,0.6824691769715816,0.19181208230686053,0.7883353021559152,0.5952651522948084,1973.6575904157773,0.00019025464353366283,2003.0049594322618,2.1754856726063294,0.32505986950339166,9,-14.50246622503472,1,6637,Simulation_XV9ELZ4R
0.52753443655807,0.004,0.16917831429742863,0.4047939318152142,2008.6427279411976,0.0013231968929749605,1998.364384387139,4.0,0.19167044187570748,1.6373094378751332,2.4063884038990118,0.00015249148758629348,1.2309803123103251,2.316038726334545,1.0851872367665234,2.5841880573604463,1.2407945384519483,1.090187228759145,1.791544237128701,2.4756509190061773,1.8892533415822612,2.5819536445080167,0.1110622951180192,2001.9232909105049,3.6989597954473896,0.3407078611919001,0.22260009304698847,0.5688471604752918,0.2278001146239551,0.10603743727013767,0.6824691769715816,0.19181208230686053,0.7883353021559152,0.5952651522948084,1973.6575904157773,0.00019025464353366283,2003.0049594322618,2.1754856726063294,0.32505986950339166,9,-14.50246622503472,2,37348,Simulation_6USFX0O2
0.5281390829040284,0.003517437977616919,0.200219530466477,0.2752657299627966,2008.8568331334254,0.0011452813880346608,1997.7055085741601,3.7466224687353504,0.26280311212936897,1.3347621259241986,2.826590920292273,0.00010619434041615328,1.3186300633751502,3.1508728735255676,1.1777705128987923,2.2712364485232936,1.1347897123833317,0.9325103792294416,1.6965351322084845,2.86205110379921,1.948037748677639,2.5170614319554363,0.20940410236746435,2000.7591109516097,3.499863157862268,0.27968840988104726,0.3569151031388911,0.4811011503081618,0.1795394636010297,0.08634439069411641,0.7911827102880611,0.23438952955981435,0.6939842237526608,0.6237366440893006,1977.772684454388,0.00044700505084098387,2000.4405364925178,3.429627692889724,0.18253912168515185,6,-14.94914649954945,3,16349,Simulation_A0SAZEIW
0.5281390829040284,0.003517437977616919,0.200219530466477,0.2752657299627966,2008.8568331334254,0.0011452813880346608,1997.7055085741601,3.7466224687353504,0.26280311212936897,1.3347621259241986,2.826590920292273,0.00010619434041615328,1.3186300633751502,3.1508728735255676,1.1777705128987923,2.2712364485232936,1.1347897123833317,0.9325103792294416,1.6965351322084845,2.86205110379921,1.948037748677639,2.5170614319554363,0.20940410236746435,2000.7591109516097,3.499863157862268,0.27968840988104726,0.3569151031388911,0.4811011503081618,0.1795394636010297,0.08634439069411641,0.7911827102880611,0.23438952955981435,0.6939842237526608,0.6237366440893006,1977.772684454388,0.00044700505084098387,2000.4405364925178,3.429627692889724,0.18253912168515185,6,-14.94914649954945,4,53749,Simulation_AWUQP46L
0.5281390829040284,0.003517437977616919,0.200219530466477,0.2752657299627966,2008.8568331334254,0.0011452813880346608,1997.7055085741601,3.7466224687353504,0.26280311212936897,1.3347621259241986,2.826590920292273,0.00010619434041615328,1.3186300633751502,3.1508728735255676,1.1777705128987923,2.2712364485232936,1.1347897123833317,0.9325103792294416,1.6965351322084845,2.86205110379921,1.948037748677639,2.5170614319554363,0.20940410236746435,2000.7591109516097,3.499863157862268,0.27968840988104726,0.3569151031388911,0.4811011503081618,0.1795394636010297,0.08634439069411641,0.7911827102880611,0.23438952955981435,0.6939842237526608,0.6237366440893006,1977.772684454388,0.00044700505084098387,2000.4405364925178,3.429627692889724,0.18253912168515185,6,-14.94914649954945,5,19133,Simulation_K9HEQO2D
0.5361767886952421,0.0038869180986480624,0.1851104885255754,0.33423429772294533,2011.4191621115515,0.001078518755059938,1998.1273955197084,4.0,0.18277554090806752,1.4079905750017823,2.6801295765839006,0.00010412929135583069,1.2174159513173273,2.5905178851510047,1.135361590326896,2.305950459596977,1.1816398102782293,0.9,1.6491327304687033,2.5535949352582215,1.975011201997115,2.4979165381282766,0.18286679246110815,2000.2807104310045,3.3874266841292866,0.2610409666097506,0.31468661359743527,0.4599421606330079,0.22575951402757585,0.1014628287856711,0.6596446198540674,0.17971110132032386,0.681632071879064,0.6013294887025781,1975.7682320414713,0.00032527983096097433,2003.849898450529,3.2091154647395124,0.20990885550919736,7,-15.551082336639118,6,35779,Simulation_FJTWHPTR
0.5361767886952421,0.0038869180986480624,0.1851104885255754,0.33423429772294533,2011.4191621115515,0.001078518755059938,1998.1273955197084,4.0,0.18277554090806752,1.4079905750017823,2.6801295765839006,0.00010412929135583069,1.2174159513173273,2.5905178851510047,1.135361590326896,2.305950459596977,1.1816398102782293,0.9,1.6491327304687033,2.5535949352582215,1.975011201997115,2.4979165381282766,0.18286679246110815,2000.2807104310045,3.3874266841292866,0.2610409666097506,0.31468661359743527,0.4599421606330079,0.22575951402757585,0.1014628287856711,0.6596446198540674,0.17971110132032386,0.681632071879064,0.6013294887025781,1975.7682320414713,0.00032527983096097433,2003.849898450529,3.2091154647395124,0.20990885550919736,7,-15.551082336639118,7,56114,Simulation_2YMVKQSD
0.5361767886952421,0.0038869180986480624,0.1851104885255754,0.33423429772294533,2011.4191621115515,0.001078518755059938,1998.1273955197084,4.0,0.18277554090806752,1.4079905750017823,2.6801295765839006,0.00010412929135583069,1.2174159513173273,2.5905178851510047,1.135361590326896,2.305950459596977,1.1816398102782293,0.9,1.6491327304687033,2.5535949352582215,1.975011201997115,2.4979165381282766,0.18286679246110815,2000.2807104310045,3.3874266841292866,0.2610409666097506,0.31468661359743527,0.4599421606330079,0.22575951402757585,0.1014628287856711,0.6596446198540674,0.17971110132032386,0.681632071879064,0.6013294887025781,1975.7682320414713,0.00032527983096097433,2003.849898450529,3.2091154647395124,0.20990885550919736,7,-15.551082336639118,8,57344,Simulation_YBLYI9H1
0.5,0.004,0.1928392879924149,0.37237197502556596,2009.698720068457,0.001175672899355862,1998.5431074325245,4.0,0.19055605443043122,1.6544836124975837,2.238921578585802,0.00011545811262877742,1.1183627901519282,2.3216200361981167,1.1269139237178287,2.133379635308553,1.1823623316671426,0.9,1.7165505280361133,2.7729270556849945,1.9744020225216685,2.600483199806698,0.17658586561015827,2002.4833212890849,3.6073144403326993,0.2926743033624391,0.2145211142713893,0.5494255833893223,0.2925757133877888,0.11511000020145855,0.6899318765753969,0.11806945460020957,0.7002124904585183,0.6146699724480014,1976.4202348922565,0.000136986301369863,2004.117927370764,2.4427402359084978,0.2585091649117895,8,-15.662546337002652,9,26945,Simulation_349ZODXI
